date,name,open,high,low,close,volume,marketCap,daily_weighted_sentiment,comment_volume,BTC_trends,gold_spot,gspc_spot,ndx_spot,price_change,target,percent_change_24h,percent_change_3d,percent_change_7d,percent_change_14d,ma_7d,price_vs_ma7d,ma_14d,price_vs_ma14d,close_7_ema,close_14_ema,dx,adx,adxr,rsi_7,rsi,stochrsi,atr,mfi,boll,boll_ub,boll_lb,boll_width,kdjk,kdjd,kdj_signal,macd,macds,macdh
2025-05-29,2781,107795.570582287,108910.0492110121,105374.3999013103,105641.7606983795,56022752042.28,2099378937278.93,0.0104409189221996,70.0,36.0,3317.100098,5912.169922,21363.94922,-2160.5638376850984,-1.0,-2.004190398475403,-3.4709382989416837,-5.401044102323671,1.8286410289555244,107999.06243204002,-2.182705738898328,107347.7468732507,-1.5892147013439581,107639.13680744087,106809.25222390947,4.830248278313666,18.434755686469924,25.56615539995805,42.134742095613724,54.67945271332734,0.0,2942.5991243389235,0.499761175232846,106296.89829230006,111474.1622136622,101119.63437093791,10354.527842724288,43.30706275729036,61.042647596057904,0.0,3014.732494370779,3597.1807245384716,-582.4482301676926
2025-05-30,2781,105646.207725502,106308.9485222422,103685.7882735482,103998.5722406304,57655287183.41,2066610850556.38,0.0167284317266954,57.0,36.0,3288.899902,5911.689941,21340.99023,-1643.1884577491,1.0,-1.5554345619443133,-4.583775689887204,-3.0657955211625287,0.4921093966705259,107529.17322258407,-3.283388941013589,107384.12405389787,-3.152748921775636,106728.99566573826,106434.4948928056,5.744642072109313,14.80900893950975,22.492684982687106,35.36095361716218,50.20793898755424,0.0,2919.782061791623,0.4347970600281802,106262.01053977296,111493.80453889501,101030.21654065092,10463.587998244097,30.129904167275882,50.738399786463894,0.0,2539.34978346595,3385.614536323967,-846.2647528580169
2025-05-31,2781,103994.7151757602,104927.1045928867,103136.1134508832,104638.0912550028,38997843858.47,2079433767578.83,-0.0088808607246916,22.0,36.0,3288.899902,5911.689941,21340.99023,639.519014372403,1.0,0.6149305712511932,-2.935218043469201,-2.925162284324556,1.4022585096429951,107078.73518169361,-2.2792984270401337,107487.48160941958,-2.6509043767261176,106206.2695630544,106194.97440776521,8.963956429291816,13.13899393659034,19.82020182665946,39.758401055121794,51.85801948454769,5.836905155420203,2839.1541389455642,0.43397982317759254,106288.59732620986,111479.51152002478,101097.68313239493,10381.828387629852,25.866025385292104,42.447608319406626,0.0,2188.976244347432,3146.2868779286605,-957.3106335812286
2025-06-01,2781,104637.296686896,105884.5442886983,103826.9555619665,105652.0985625249,37397056873.12,2099597472488.37,0.0121139745946151,26.0,33.0,3288.899902,5911.689941,21340.99023,1014.0073075221007,1.0,0.9690613574467433,0.009785774183490581,-3.102927005881384,-0.7458353655213412,106595.4082573785,-0.8849440236449407,107430.77360999805,-1.6556476209788924,106067.72681292203,106122.59096173318,2.403097484535795,10.071594950289041,17.03488557626791,46.492159773611995,54.43633456569897,14.957296928361291,2783.3280380705482,0.4246749403428184,106430.55459175869,111370.4788386414,101490.63034487597,9879.848493765428,28.267298977397598,37.72083853873695,0.0,1970.4109348748898,2911.1116893179064,-940.7007544430166
2025-06-02,2781,105649.8096322775,105958.313362378,103727.5470740869,105881.5339020309,45819706290.18,2104387814851.39,-0.0120922597971829,6.0,33.0,3370.600098,5935.939941,21491.75,229.4353395060025,-1.0,0.21716117580969918,1.8105649152987846,-3.25184802425752,0.26073514889348726,106087.00333506463,-0.19368011780365676,107450.44164103306,-1.4601221875322874,106021.17858519926,106090.45002043954,3.055771790328691,8.067074047443226,14.47265371088943,48.025770499601194,55.02328800314557,17.033554148094524,2743.8593416560207,0.4945774597431848,106516.1406427677,111349.30493543837,101682.97635009703,9666.32858534134,30.87337277117247,35.43834994954879,0.0,1795.0180165319034,2687.892954760706,-892.8749382288024
2025-06-03,2781,105888.473534717,106813.5790312666,104920.8441383086,105432.4700666072,46196508367.02,2095409805425.64,-0.0307216436966605,9.0,33.0,3350.199951,5970.370117,21662.58008,-449.0638354237017,-1.0,-0.4241191252850607,0.7591679111084826,-3.2682084310923343,-1.2722218673939634,105578.12160874861,-0.13795617872532653,107353.39738423987,-1.7893493493804153,105874.00145555125,106002.71935992857,2.9571594404205594,6.60709844543675,12.225352206474376,45.07568495720597,53.56873732156959,11.888305545023197,2683.0647381751464,0.500952159295156,106610.79329164143,111269.49861108804,101952.08797219481,9317.410638893227,30.643272545722926,33.839990814940165,0.0,1601.3231105429295,2470.578985917151,-869.2558753742214
2025-06-04,2781,105434.3683148127,105997.6923423159,104232.6999497597,104731.9832551475,44544857105.32,2081863721656.37,0.0027936465443579,80.0,33.0,3373.5,5970.810059,21721.91992,-700.4868114597048,-1.0,-0.6643938162666285,-0.8708916527889743,-2.8481215911906776,-4.5096460667584,105139.50142576046,-0.38759758709785846,107000.10502321206,-2.119737889577332,105588.4969054503,105833.28787929108,1.9975038364665056,5.290071414302394,10.243843408710951,40.54338218314325,51.29101801336768,3.831224937823786,2617.4881420570596,0.414574196716882,106660.16027537268,111210.65275210686,102109.66779863849,9100.984953468374,27.42083050721523,31.700270712365185,0.0,1375.439856099183,2251.5511599535575,-876.1113038543745
2025-06-05,2781,104750.7800547679,105936.6901732138,100436.8859125027,101575.9523061866,57479298399.76,2018776223605.26,-0.1128940598902214,62.0,33.0,3350.699951,5939.299805,21547.42969,-3156.0309489608917,1.0,-3.01343567730612,-4.066414073513636,-3.8486753394817885,-9.04185078936479,104558.6716554472,-2.8526752511638254,106278.86704374361,-4.425070447562559,104585.36075563438,105265.64313621048,23.785034623819133,10.574346617021464,10.338272896799669,26.52453210178838,42.51902855704049,0.0,2823.3678648252017,0.3203579135158401,106564.4933051035,111462.82563785519,101666.16097235182,9796.66466550337,22.565301925936605,28.655281116888993,0.0,931.028115454741,1987.4465510537943,-1056.4184355990533
2025-06-06,2781,101574.3670737617,105376.77341111,101169.5724370532,104390.3469384754,48856653697.18,2074795695700.74,-0.0205022671551295,52.0,33.0,3322.699951,6000.359863,21761.78906,2814.394632288793,1.0,2.7707292606080625,-0.9884271206711204,0.3767116119041791,-2.7006331169838083,104614.63946942505,-0.21439879933362657,106071.90634600456,-1.5853013917218988,104536.60730134463,105148.93697651247,23.785034623819136,14.348828904677942,11.484146041907747,45.963399769915526,50.62800248908133,33.133428763670814,2922.2130869163557,0.4007362458456142,106624.45637814232,111376.0766879523,101872.83606833234,9503.240619619959,30.59640779539602,29.302323343058,1.0,796.7423848681938,1749.3057178166746,-952.5633329484808
2025-06-07,2781,104390.644796748,105972.7540876929,103987.3117931851,105615.6263094638,38365033775.84,2099226790870.69,0.0654107278818397,46.0,33.0,3322.699951,6000.359863,21761.78906,1225.279370988399,1.0,1.1737477716311728,0.8437184390594155,0.9342057397422776,-2.018283578539215,104754.28733434806,0.8222469905852832,105916.51125802084,-0.2840774728918893,104806.36205337443,105211.16222090599,18.968875247801417,15.668842145570363,12.679773500097065,52.36452106162256,53.69096940706236,45.64877250912332,2855.3008874566012,0.4626687796162243,106582.93716589423,111355.5878085852,101810.28652320325,9545.301285381953,47.468796594042445,35.35781442671948,0.0,780.1961653141625,1555.4838073161723,-775.2876420020098
