date,name,open,high,low,close,volume,marketCap,daily_weighted_sentiment,comment_volume,ETH_trends,gold_spot,gspc_spot,ndx_spot,price_change,target,percent_change_24h,percent_change_3d,percent_change_7d,percent_change_14d,ma_7d,price_vs_ma7d,ma_14d,price_vs_ma14d,close_7_ema,close_14_ema,dx,adx,adxr,rsi_7,rsi,stochrsi,atr,mfi,boll,boll_ub,boll_lb,boll_width,kdjk,kdjd,kdj_signal,macd,macds,macdh
2025-06-04,2781,2593.4826542677,2677.9705464726,2585.7377151597,2608.6430329852,18621211034.52,314918757612.67,0.1302287878675593,64.0,54.0,3373.5,5970.810059,21721.91992,15.362773604900212,-1.0,0.5924069930093534,2.8536721052935254,-2.742877296943902,2.205649457972436,2576.7104288188716,1.2392779494809567,2587.1002186727646,0.8327011901953819,2587.4356673012976,2565.5508480040667,32.584241443019415,29.011753001808867,28.920445850895444,58.14152404222998,61.17493381081748,25.215747153705117,125.50166235957333,0.6150006912225392,2566.7687884655547,2683.50002854837,2450.0375483827393,233.46248016563095,39.59260321408091,40.729956380760825,0.0,96.95337755286891,122.52963049027984,-25.576252937410928
2025-06-05,2781,2608.6072565384,2640.6041075435,2395.7536908185,2416.2855921517,26194462736.91,291720663907.43,0.0059485088041679,44.0,54.0,3350.699951,5939.299805,21547.42969,-192.35744083350028,1.0,-7.373850634265433,-7.318940189218514,-8.218672552335637,-9.303935562324705,2545.800531150657,-5.087395395444392,2569.395114748436,-5.9589714994739795,2544.648148513898,2545.648813890418,3.1986944191417344,21.63659340676111,26.839345152571347,31.93785609548084,46.71835448750513,0.0,134.02657338597078,0.5210609269825229,2560.7681881306153,2695.1054865858773,2426.4308896753532,268.6745969105241,28.154448921417117,36.538120560979586,0.0,77.1293537029942,113.44957513282272,-36.32022142982852
2025-06-06,2781,2416.4549867012,2530.3918612371,2387.6087517435,2477.1948101373,19407449564.6,299050574908.76,-0.1634520644627287,37.0,54.0,3322.699951,6000.359863,21761.78906,60.90921798560021,1.0,2.5207789254481527,-4.476394281840568,-2.0849807399696996,-1.949269824301103,2538.264982894743,-2.405980981851464,2565.8774596648573,-3.4562308965113466,2527.784813919748,2536.5216133900017,2.153372585875274,16.069958886508015,23.762377647981825,41.65234401034283,50.69182234263495,17.45422865456478,134.65204025082156,0.5448794770870389,2560.8402051299954,2694.9870177743496,2426.693392485641,268.2936252887084,26.288829894252185,33.12169033873712,0.0,65.5775990877496,103.87517992380809,-38.297580836058486
2025-06-07,2781,2477.1832809676,2543.0487664147,2459.137208559,2526.5053936495,11664303387.31,304970073785.67,0.0018098325047421,45.0,54.0,3322.699951,6000.359863,21761.78906,49.31058351220008,-1.0,1.990581576806516,-3.1486730187727408,-0.10209154521215735,-0.16362767404318745,2537.8961279827427,-0.4488258683107151,2565.581685552971,-1.5230967746423045,2527.464958852186,2535.1861174246014,3.7843424643997423,12.559782765905652,20.561636253102918,48.58371141425407,53.7020258977251,30.677131937775233,131.02772007963307,0.5874956297847975,2562.2537970991552,2694.200609812272,2430.3069843860385,263.8936254262335,33.47112507994629,33.23816858580684,1.0,59.71336382502432,95.04281670405135,-35.32945287902703
2025-06-08,2781,2526.1933934895,2547.4670463726,2493.9201416849,2510.7870002709,12097170202.77,303116033270.06,-0.0019265093259363,30.0,60.0,3322.699951,6000.359863,21761.78906,-15.718393378600013,1.0,-0.6221397119558492,3.911019807681204,-1.0045991012516575,-1.6058231696146619,2534.256226762214,-0.9260794643996286,2562.654770226357,-2.0239858508477693,2523.2954692068647,2531.9329018041076,4.3835031311923185,10.223702870273272,17.607941000865875,46.52816978363511,52.59969288019974,25.834920236848962,125.4933761229128,0.6380144472117965,2561.334813529675,2694.5022975246825,2428.1673295346677,266.3349679900148,36.454861175288436,34.310399448967374,0.0,53.1844944029549,86.67115224383207,-33.48665784087717
2025-06-09,2781,2510.8380950887,2693.8065391692,2479.867906226,2681.5171951808,20605172559.53,323692699196.23,0.1070961737026602,31.0,60.0,3332.100098,6005.879883,21797.86914,170.7301949099001,1.0,6.799867726393338,8.248135520362055,2.8545037711700028,4.577708294431959,2544.8876119651,5.3687865261051035,2571.0389685869004,4.297026530664412,2562.8509007003486,2551.8774742543333,21.761871364681674,13.520322440104245,16.44004998350541,65.19096090833094,61.77731553487897,66.14940877946523,131.81089446738187,0.6462049542381769,2569.20201267972,2711.409765125543,2426.9942602338974,284.41550489164547,56.298730355617785,41.63984308451751,0.0,61.08269494070919,81.5534607832075,-20.47076584249831
2025-06-10,2781,2681.2853293436,2824.8080126769,2658.6771446823,2813.5174722242,35555755055.15,339682097824.21,0.0638012993817645,39.0,60.0,3320.899902,6038.810059,21941.91992,132.00027704339982,-1.0,4.922596703113813,11.360042186971754,8.492611319091626,5.649410664355958,2576.3500709428004,9.205558047265278,2581.7852360983284,8.9756588923745,2625.517543581311,2586.762807316982,33.4266361838486,19.20784065260263,17.230847317533186,73.52563167415025,67.08381080643572,89.45921905125168,134.26232114795613,0.6605731581871794,2582.260526251655,2761.1782824937254,2403.3427700095845,357.83551248414096,70.00499685046107,51.094894339832024,0.0,77.1045813375813,80.66368489408227,-3.559103556500972
2025-06-11,2781,2813.7397458841,2877.6292904417,2746.4599377971,2773.5293199848,30705408053.77,334834778705.72,0.1540466139926161,94.0,60.0,3321.300049,6022.240234,21860.80078,-39.988152239399824,-1.0,-1.421286792570997,10.464540388553534,6.320768495906948,3.4045202748964387,2599.905254799886,6.678092013713713,2588.3078418093787,7.156083800524314,2662.520487682183,2611.665009006025,37.47455443972311,24.426901734637052,19.286862865277147,67.78897614123514,64.17706134431452,85.72705950409151,134.04139482628293,0.6763592231754326,2587.72913989628,2783.1146014279625,2392.343678364597,390.77092306336544,72.92199740945351,58.370595363039186,0.0,85.58871857716667,81.64869163069915,3.940026946467526
2025-06-12,2781,2773.5978126125,2784.262793898,2619.9665537204,2651.7952388213,25924959612.73,320144033677.27,0.0295368893909068,55.0,60.0,3380.899902,6045.259766,21913.32031,-121.73408116350038,-1.0,-4.389139869059234,-1.1084007371989446,9.746763686981176,0.7270365427626047,2633.5494900384,0.6928196660786367,2589.6750105945284,2.3987654038685733,2659.8391754669624,2617.015706314728,18.839315489093423,22.830448521624586,20.299315909947843,53.08010305669132,56.19438813420136,46.52993528992443,136.20245520856446,0.5819363103829917,2593.9968027719747,2789.1465161557253,2398.847089388224,390.29942676750125,66.58578153675109,61.108990754276476,0.0,81.5494838023069,81.6288500650207,-0.07936626271380476
2025-06-13,2781,2651.9155605939,2651.9155605939,2443.9627146036,2579.486038699,37986747138.47,311427701465.83,-0.0542547492249148,58.0,60.0,3431.199951,5976.970215,21631.03906,-72.3092001222999,-1.0,-2.7268017931294297,-8.31810841182332,4.129317086532658,1.9582408806164908,2648.1625226900715,-2.593363639981893,2593.213752792407,-0.5293707114820306,2639.7508912749718,2612.011750632631,1.2240150092091762,16.65718180379161,19.258706165331777,46.14194223486586,52.05269602250893,26.19308623124391,141.32748312164378,0.5566566730325404,2596.43879314613,2789.461399691314,2403.4161866009463,386.0452130903677,57.44285059047127,59.88694403300807,-1.0,71.68724704530769,79.6405294610781,-7.953282415770417
2025-06-14,2781,2579.7215143187,2580.1581535893,2491.4906818453,2533.4441915193,14285000472.85,305808836419.54,0.1964119816927806,43.0,60.0,3431.199951,5976.970215,21631.03906,-46.041847179699744,1.0,-1.7849232943676463,-8.656303963890155,0.274640136816684,0.1722682072450965,2649.153779528614,-4.367794308637795,2593.5249537556783,-2.316567733399879,2613.1742163360536,2601.5360760841872,1.2240150092091786,12.247705576768055,17.255563140027856,42.05810626459567,49.548549842416044,13.897038743394724,137.56605373745944,0.5559964867986413,2595.5228119799203,2789.609004035195,2401.4366199246456,388.1723841105495,48.215596123982266,55.99649472999946,0.0,59.470620784968105,75.6065477258561,-16.135926940887998
2025-06-15,2781,2533.1832975252,2558.6776897713,2493.2045219589,2546.8371588019,13961893827.76,307504024675.85,0.0454138881668916,51.0,55.0,3431.199951,5976.970215,21631.03906,13.392967282599784,-1.0,0.5286466276791302,-3.958000922652416,1.4358111033357268,0.4167878566442962,2654.3038021759,-4.048769522384842,2594.280014469057,-1.8287484543902062,2596.589951952515,2594.2428871132156,1.224015009209181,9.098079700322662,14.924853585826373,43.74770480079816,50.2975858322044,17.575011768197964,132.4165618855844,0.5546615700999569,2594.657749013355,2789.485734258898,2399.829763767812,389.655970491086,40.05106862362319,50.681352694540706,0.0,50.289846936469985,70.54320756797888,-20.253360631508897
2025-06-16,2781,2547.226895762,2680.0875951757,2517.1452744184,2540.6050663562,22792449577.22,306669359545.91,-0.0010351840347732,42.0,55.0,3396.399902,6033.109863,21937.57031,-6.232092445699891,-1.0,-0.24469929002574053,-1.5073147037620749,-5.254940340410508,-2.5504390394302523,2634.1734980580995,-3.5520982870292226,2589.5305550115995,-1.8893574575018026,2582.593730553436,2587.0911776789467,11.62986997172036,9.821448349293435,13.466737803959818,43.06594917329069,49.926137203308535,15.751096688276158,134.59697323359754,0.563412889254304,2588.534515977955,2782.002504528744,2395.066527427166,386.9359771015779,34.12902694255085,45.16391077721075,0.0,42.026682308089676,64.83990251600105,-22.81322020791137
2025-06-17,2781,2540.3143779615,2617.901407601,2456.6489290116,2510.7614921028,25653232897.12,303107908642.65,0.0117585245361137,96.0,55.0,3386.600098,5982.720215,21719.08008,-29.84357425340022,1.0,-1.1746640455300161,-0.8953305343149309,-10.760764171905402,-3.18202272889776,2590.922643755043,-3.0939230025048094,2583.636357348921,-2.8206316666366504,2564.635670940777,2576.9138862687937,4.50852121977992,8.30346916943243,11.991518194094851,39.61676630320677,48.094462584331666,6.757069791494834,136.50093790189624,0.4935863985682809,2579.96194858159,2771.1329020739704,2388.79099508921,382.3419069847605,27.88710365140777,39.40497506860976,0.0,32.69307239034606,58.41053649087005,-25.71746410052399
2025-06-18,2781,2510.8168096452,2546.6274818193,2469.0502186679,2524.3015307665,19873957904.83,304747629140.47,0.06421834602952,43.0,55.0,3389.800049,5980.870117,21719.68945,13.540038663700216,-1.0,0.5392801628624655,-0.8848476219814994,-8.985943917105088,-3.233156133370374,2555.318673866714,-1.2138268082735393,2577.6119643333,-2.068210200156667,2554.552135897208,2569.8989055351544,4.50852121977992,7.2191983266745705,10.627998231974772,42.07250852633622,49.008516391352984,11.245325751522918,132.29210399109084,0.4335518404152596,2574.544281328455,2765.568996781579,2383.519565875331,382.04943090624784,24.766562541061102,34.52550422609354,0.0,26.08796146624627,51.946021485945295,-25.858060019699025
2025-06-19,2781,2524.4039414787,2546.7696102561,2486.1019157219,2521.6536702769,12782730709.36,304399901342.93,-0.0499915768170312,22.0,55.0,3389.800049,5980.870117,21719.68945,-2.6478604896001343,-1.0,-0.10489477811298498,-0.7459402616432853,-4.9076778870093545,4.360746033806784,2536.727021217514,-0.5942046903170356,2585.1382556279573,-2.455752036195693,2546.3275194921307,2563.4662075007204,4.525116789965931,6.4494607447578165,9.434130378484214,41.68571813001974,48.82743166178103,3.8598959209993726,127.17607474410721,0.49234582722924913,2574.1297824458647,2765.597445315451,2382.6621195762787,382.9353257391722,22.482676739786424,30.5112283973245,0.0,20.404492965673853,45.63771578189101,-25.233222816217157
