,date,name,open,high,low,close,volume,marketCap,daily_weighted_sentiment,comment_volume,ETH_trends,gold_spot,gspc_spot,ndx_spot
186,2025-01-10,2781,3219.496658042,3320.5005471421,3196.1103062498,3267.4900400932,26503845189.53,393692820976.69,-0.3110277871181073,34.0,59.0,2708.5,5827.040039,20847.58008
185,2025-01-11,2781,3267.5225598779,3317.6541897689,3219.6988283325,3282.2177217399,11772144560.87,395461602229.57,-0.0024639309621324,31.0,59.0,2708.5,5827.040039,20847.58008
184,2025-01-12,2781,3282.1504541993,3298.0183618609,3224.5104778881,3265.9511514899,11647743556.47,393534082007.43,-0.004946106197034,44.0,63.0,2708.5,5827.040039,20847.58008
183,2025-01-13,2781,3266.0953628314,3335.1935020261,2920.5927049425,3135.4997200989,39911742769.2,377826468144.96,-0.0450289855905845,80.0,63.0,2673.5,5836.220215,20784.7207
182,2025-01-14,2781,3135.6702801681,3254.7515220954,3126.8060094801,3223.6846292978,22847737223.63,388437673735.93,-0.6190305345872154,55.0,63.0,2677.5,5842.910156,20757.41016
181,2025-01-15,2781,3223.6846886379,3473.1015449816,3186.1398329913,3450.5376123693,25991614660.71,415750919856.32,0.276998288773074,35.0,63.0,2712.5,5949.910156,21237.84961
180,2025-01-16,2781,3450.305230733,3458.180650757,3265.6758172563,3308.3452690441,26395516474.98,398632884531.63,0.023776344931805,30.0,63.0,2746.399902,5937.339844,21091.25
179,2025-01-17,2781,3308.1910716378,3525.5433592391,3307.3109709423,3474.107275649,28200207229.11,418566494049.26,-0.1101613358879276,43.0,63.0,2744.300049,5996.660156,21441.16016
178,2025-01-18,2781,3473.5637639912,3493.060140111,3228.3336912167,3305.7895906773,32420094038.2,398307983549.0,-0.0766474836402469,39.0,63.0,2744.300049,5996.660156,21441.16016
177,2025-01-19,2781,3305.3979695991,3444.2066474488,3127.6230137731,3208.9643743573,57242875398.88,386687337500.24,-0.1275731013249024,77.0,73.0,2744.300049,5996.660156,21441.16016
176,2025-01-20,2781,3208.9338275588,3444.2827459666,3147.5229798998,3278.0353650873,52383187335.91,395057207035.2,-0.062505210408436,97.0,73.0,2744.300049,5996.660156,21441.16016
175,2025-01-21,2781,3278.4361082006,3365.7781281242,3202.4925822768,3327.4062612887,32804001145.6,400934387859.02,-0.3544510835162897,84.0,73.0,2755.0,6049.240234,21566.50977
174,2025-01-22,2781,3327.2374136111,3364.7460014243,3223.3859900143,3240.2245269346,22171220980.66,390482951804.65,-0.0106455444700681,55.0,73.0,2767.600098,6086.370117,21853.0
173,2025-01-23,2781,3240.4753073635,3346.7325186278,3184.0667965696,3334.7142017869,32419520084.49,402178405888.02,-0.0228397074369978,74.0,73.0,2763.100098,6118.709961,21900.92969
172,2025-01-24,2781,3334.8083465932,3424.8998535904,3277.3231574435,3309.554998792,25578325670.73,398836213929.28,-0.0969168744507552,92.0,73.0,2777.300049,6101.240234,21774.00977
171,2025-01-25,2781,3309.7117569653,3349.2983595287,3270.2731113874,3317.2695057658,13744316078.39,399754944021.83,-0.1087899724642435,53.0,73.0,2777.300049,6101.240234,21774.00977
170,2025-01-26,2781,3317.2915898188,3359.3124804246,3233.9221508927,3236.1341830842,14471528756.78,389947457706.7,0.0474998359122021,64.0,59.0,2777.300049,6101.240234,21774.00977
169,2025-01-27,2781,3235.8552197218,3250.3965059762,3024.091649225,3178.9205191584,39412486481.55,383113389153.51,-0.3975094612952572,71.0,59.0,2737.5,6012.279785,21127.2793
168,2025-01-28,2781,3179.0869218388,3222.7374082538,3040.0923133513,3077.1126333315,20718206193.57,370740830465.15,-0.0299946270518832,53.0,59.0,2766.800049,6067.700195,21463.03906
167,2025-01-29,2781,3076.380017521,3177.9805623929,3055.1815883672,3112.998910374,22727786058.31,375160006592.26,0.0446843750680813,33.0,59.0,2769.100098,6039.310059,21411.46094
166,2025-01-30,2781,3113.2899117718,3282.9862695081,3093.1238207439,3247.7799513503,19958405782.39,391410452938.78,-0.3019478580887437,51.0,59.0,2823.0,6071.169922,21508.11914
165,2025-01-31,2781,3247.8671705984,3437.5689837467,3214.9355101578,3298.2651884844,30128115902.13,397569451843.83,0.0175322191065857,50.0,59.0,2812.5,6040.529785,21478.05078
164,2025-02-01,2781,3298.8223501537,3329.6551659404,3103.9189869704,3118.3286253641,19917507078.5,375857159372.64,-0.0485820900607409,24.0,59.0,2812.5,6040.529785,21478.05078
163,2025-02-02,2781,3118.6116927808,3161.8942509515,2755.4747161084,2868.6928684244,42060930305.44,345669689993.68,-0.054156919739585,65.0,82.0,2812.5,6040.529785,21478.05078
162,2025-02-03,2781,2868.0786325622,2919.4772778708,2159.2805472236,2884.5666311078,92453553253.49,347599890746.0,-0.1665992506497499,102.0,82.0,2833.899902,5994.569824,21297.58008
