,date,name,open,high,low,close,volume,marketCap,daily_weighted_sentiment,comment_volume,BTC_trends,gold_spot,gspc_spot,ndx_spot
191,2025-01-05,2781,98233.9057765858,98813.3085544115,97291.7646063472,98314.9594436372,20525254824.64,1947189546143.58,0.5129747631777806,67.0,52.0,2645.0,5942.470215,21326.16016
190,2025-01-06,2781,98314.9569580597,102482.8739099194,97926.1485172348,102078.0855728765,51823432704.9,2021809968109.4,0.271498598618369,60.0,52.0,2638.399902,5975.379883,21559.5
189,2025-01-07,2781,102248.8525481832,102712.4856972717,96132.8747011312,96922.7052796726,58685738546.55,1919787500379.26,-0.0270868863768414,41.0,52.0,2656.699951,5909.029785,21173.03906
188,2025-01-08,2781,96924.1649742654,97258.3217480094,92525.8445608172,95043.5234559406,63875859171.19,1882572360732.92,-0.0090256968818331,53.0,52.0,2664.5,5918.25,21180.9707
187,2025-01-09,2781,95043.4876399706,95349.7214596253,91220.8422602806,92484.0369715298,62777261693.16,1832169140187.88,-0.0422099820877376,15.0,52.0,2683.800049,5918.25,21180.9707
186,2025-01-10,2781,92494.4915059927,95770.6115962075,92250.092737317,94701.4564626687,62058693683.57,1875885466612.61,0.0,10.0,52.0,2708.5,5827.040039,20847.58008
185,2025-01-11,2781,94700.8380534732,94977.6876648955,93840.043523601,94566.5936752458,18860894100.35,1873237899879.31,-0.0012326699347313,15.0,52.0,2708.5,5827.040039,20847.58008
184,2025-01-12,2781,94565.7258317476,95367.5362990402,93712.5116724825,94488.4410616268,20885130964.79,1871766465336.38,-0.0179243806530447,8.0,52.0,2708.5,5827.040039,20847.58008
183,2025-01-13,2781,94488.8921736814,95837.0002259194,89260.1001886086,94516.5256268428,72978998252.04,1872375406197.59,-0.1202533229614745,70.0,52.0,2673.5,5836.220215,20784.7207
182,2025-01-14,2781,94519.0071414979,97352.6647477847,94322.154503832,96534.0442146476,53769675817.65,1912474167256.74,-0.1246287237149206,25.0,52.0,2677.5,5842.910156,20757.41016
181,2025-01-15,2781,96534.0459693992,100697.2343634354,96501.6443933864,100504.493441195,57805923627.33,1991112409561.28,0.0531226401086785,62.0,52.0,2712.5,5949.910156,21237.84961
180,2025-01-16,2781,100505.2987263067,100781.5890950225,97364.4430844998,99756.9090981947,54103781804.71,1975939538073.53,0.1383901342716259,81.0,52.0,2746.399902,5937.339844,21091.25
179,2025-01-17,2781,100025.7650552685,105884.230447798,99948.9050642389,104462.0426222178,71888972662.9,2069344681719.56,0.0852964242072147,64.0,52.0,2744.300049,5996.660156,21441.16016
178,2025-01-18,2781,104124.9545762088,104913.2062143758,102226.6203345545,104408.0673030506,50445655725.64,2068581942437.74,0.02863992923914,19.0,52.0,2744.300049,5996.660156,21441.16016
177,2025-01-19,2781,104411.286795273,106299.7985288669,99570.5311832792,101089.6064983213,76789928525.09,2002715800503.2,-0.4279695688561831,67.0,66.0,2744.300049,5996.660156,21441.16016
176,2025-01-20,2781,101083.753465156,109114.8848340883,99471.3589402134,102016.6622807587,126279678351.02,2021959305140.74,-0.1198138288974092,80.0,66.0,2744.300049,5996.660156,21441.16016
175,2025-01-21,2781,102052.5752511938,107180.9248951009,100103.9558070991,106146.2630067343,88733878242.01,2102915931217.31,0.3121935007787401,67.0,66.0,2755.0,6049.240234,21566.50977
174,2025-01-22,2781,106136.3833471013,106294.3401357715,103360.2693116155,103653.0692422291,53878181052.37,2053851084717.98,0.0143665651215933,102.0,66.0,2767.600098,6086.370117,21853.0
173,2025-01-23,2781,103657.674563574,106820.3288084091,101257.8031755016,103960.1716372268,104104515428.06,2059818861176.53,-1.4708131172218052e-05,45.0,66.0,2763.100098,6118.709961,21900.92969
172,2025-01-24,2781,103965.6697206428,107098.5451631159,102772.1241731584,104819.4844854964,52388229265.3,2076961712719.0,-0.6491980436574394,43.0,66.0,2777.300049,6101.240234,21774.00977
171,2025-01-25,2781,104824.0336788709,105243.7906021354,104120.3768049614,104714.6453663176,23888996501.99,2074559479001.94,-0.0058170764068147,43.0,66.0,2777.300049,6101.240234,21774.00977
170,2025-01-26,2781,104713.2132299644,105438.6445345296,102507.711729671,102682.4970331773,22543395879.45,2034705019960.93,0.135476433457555,44.0,48.0,2777.300049,6101.240234,21774.00977
169,2025-01-27,2781,102680.3035909706,103214.110459846,97795.9361021666,102087.6913350177,89006608427.88,2023052943646.03,-0.2442966523398653,36.0,48.0,2737.5,6012.279785,21127.2793
168,2025-01-28,2781,102095.417582976,103730.8210612241,100238.1881368375,101332.4762208059,47180685494.0,2007518100049.64,-0.0116319904280135,25.0,48.0,2766.800049,6067.700195,21463.03906
167,2025-01-29,2781,101317.5272532106,104750.8072420015,101283.8227095721,103703.2111924169,47432049817.95,2055183543946.32,0.269322722488898,47.0,48.0,2769.100098,6039.310059,21411.46094
166,2025-01-30,2781,103709.3387991247,106418.7666945693,103321.6450644576,104735.3028391485,41915744521.36,2075653153142.54,-0.0214726987637971,23.0,48.0,2823.0,6071.169922,21508.11914
165,2025-01-31,2781,104737.5621920365,106026.3502880846,101543.8829139224,102405.0270844454,45732764359.6,2029428972448.1,-0.0823041131628501,18.0,48.0,2812.5,6040.529785,21478.05078
164,2025-02-01,2781,102402.7981153973,102755.7260175272,100297.7092387421,100655.9056512145,27757944848.3,1994943345106.19,-0.5829472941803705,52.0,48.0,2812.5,6040.529785,21478.05078
163,2025-02-02,2781,100661.5363872362,101430.6658330409,96216.0778118839,97688.9793048889,63091816853.4,1935746524005.4,-0.3416237841297957,54.0,54.0,2812.5,6040.529785,21478.05078
162,2025-02-03,2781,97681.1032562505,102514.1746801738,91242.8926025841,101405.4230656902,115400897748.03,2009571185330.52,-0.4502521968026201,69.0,54.0,2833.899902,5994.569824,21297.58008
161,2025-02-04,2781,101398.717040286,101745.6133048196,96208.1065468762,97871.8178338929,73002130210.71,1939247972759.58,-0.3621303353990827,10.0,54.0,2853.300049,6037.879883,21566.91992
160,2025-02-05,2781,97878.0097544626,99113.2078252824,96174.8255591031,96615.4445401536,49125911241.12,1915013611807.15,-0.0207324669831294,19.0,54.0,2871.600098,6061.47998,21658.16016
159,2025-02-06,2781,96610.6402284928,99168.6060063579,95707.3499191183,96593.3003285625,45302471947.11,1914349686277.64,0.2895149635754043,28.0,54.0,2856.0,6083.569824,21774.07031
158,2025-02-07,2781,96581.3172874407,100154.143334761,95653.8866516577,96529.082494532,55741290456.48,1913405359442.93,-0.0319666430641909,54.0,54.0,2867.300049,6025.990234,21491.31055
157,2025-02-08,2781,96533.2608441032,96877.8073359892,95702.4923701161,96482.4498744429,22447526395.12,1912426186151.71,0.0221242229386986,43.0,54.0,2867.300049,6025.990234,21491.31055
