,date,name,open,high,low,close,volume,marketCap,daily_weighted_sentiment,comment_volume,XRP_trends,gold_spot,gspc_spot,ndx_spot
296,2024-09-22,2781,0.5981457193,0.6041054904,0.579579005,0.5876209728,886494818.51,33162100421.1,0.0,1.0,20.0,2619.899902,5702.549805,19791.49023
295,2024-09-23,2781,0.5876209728,0.5952359178,0.5815011466,0.585064812,998093827.65,33017844745.36,0.0,4.0,20.0,2626.5,5718.569824,19852.19922
294,2024-09-24,2781,0.5850640404,0.5923972055,0.5819362203,0.5915435043,988961519.67,33383567607.59,0.0,13.0,20.0,2651.199951,5732.930176,19944.83984
293,2024-09-25,2781,0.5915452949,0.5948660404,0.5829903458,0.5835408348,995515963.56,32973536099.91,0.0422590555146683,16.0,20.0,2659.199951,5722.259766,19972.60938
292,2024-09-26,2781,0.5835439724,0.5959882686,0.5768853154,0.590420702,1212544780.89,33362317930.98,0.0386214517056942,16.0,20.0,2669.899902,5745.370117,20115.53906
291,2024-09-27,2781,0.5904243778,0.5970264543,0.5832897633,0.5889271453,1236838133.61,33312546097.94,0.3110951218340132,14.0,20.0,2644.300049,5738.169922,20008.61914
290,2024-09-28,2781,0.5889350574,0.6256267318,0.5865494226,0.6148013619,2222346895.97,34775569753.76,0.0,2.0,20.0,2644.300049,5738.169922,20008.61914
289,2024-09-29,2781,0.6147999648,0.6622055488,0.6088135122,0.6419469007,2225645563.02,36311025791.43,0.0,1.0,23.0,2644.300049,5738.169922,20008.61914
288,2024-09-30,2781,0.6419454099,0.6524109709,0.6109509682,0.6114920508,2051368591.92,34588460773.21,0.0261513481537501,16.0,23.0,2636.100098,5762.47998,20060.68945
287,2024-10-01,2781,0.6114920508,0.6335889745,0.5842745848,0.5975301691,2724318278.42,33798115412.73,0.0261513481537501,16.0,23.0,2667.300049,5708.75,19773.30078
286,2024-10-02,2781,0.5975194746,0.6057803217,0.5307017631,0.5398314291,2624852687.58,30534334736.02,0.0,3.0,23.0,2647.100098,5709.540039,19802.58984
285,2024-10-03,2781,0.5398188457,0.5435673493,0.5100857258,0.5219530832,2329769451.21,29523775031.77,0.0,1.0,23.0,2657.100098,5699.939941,19793.33984
284,2024-10-04,2781,0.5219530832,0.5383749799,0.5157278905,0.534341171,1408313542.52,30223140013.73,0.0,1.0,23.0,2645.800049,5751.069824,20035.01953
283,2024-10-05,2781,0.5343172103,0.5348529395,0.5268968406,0.5294961406,685609429.78,29950484013.95,0.0,1.0,23.0,2645.800049,5751.069824,20035.01953
282,2024-10-06,2781,0.529496904,0.5367085486,0.5284917244,0.5335916946,595405723.66,30182145760.97,-0.2063461191513959,2.0,20.0,2645.800049,5751.069824,20035.01953
281,2024-10-07,2781,0.5335924698,0.5453613106,0.529788069,0.52993383,1192453386.84,29975153255.19,-0.1485491972662803,23.0,20.0,2644.800049,5695.939941,19800.74023
280,2024-10-08,2781,0.5299330334,0.5341199301,0.5216372884,0.5308684908,906939732.94,30070339292.94,-0.0368471887222556,23.0,20.0,2615.0,5751.129883,20107.7793
279,2024-10-09,2781,0.5308554753,0.5340643048,0.5218608526,0.5243323964,858437664.85,29700264506.01,0.0600983578090866,27.0,20.0,2606.0,5792.040039,20268.85938
278,2024-10-10,2781,0.5243222525,0.543239244,0.5227527002,0.5299771448,1260651129.07,30020764435.31,-0.1108687988349369,7.0,20.0,2620.600098,5780.049805,20241.75977
277,2024-10-11,2781,0.5299802911,0.5416159508,0.529587134,0.538297082,924108714.24,30491766434.65,0.0523774411943223,12.0,20.0,2657.600098,5815.029785,20271.9707
276,2024-10-12,2781,0.5382952618,0.542463814,0.5357324519,0.5395597638,569251511.21,30563345809.18,-0.0365510141408001,5.0,20.0,2657.600098,5815.029785,20271.9707
275,2024-10-13,2781,0.5395589091,0.5395626005,0.525704349,0.5315403677,615540883.62,30109176112.99,0.0,1.0,22.0,2657.600098,5815.029785,20271.9707
274,2024-10-14,2781,0.5315410924,0.5511304099,0.528406984,0.5480212688,1075594127.19,31042696664.34,0.0414121727789602,9.0,22.0,2647.800049,5859.850098,20439.05078
273,2024-10-15,2781,0.5480212688,0.5545177467,0.5326675623,0.5414515072,1286412940.94,30670650257.88,0.0,4.0,22.0,2661.399902,5815.259766,20159.83008
272,2024-10-16,2781,0.5414532394,0.5531389271,0.5379650725,0.548044626,1085371530.05,31044218871.88,-0.1800993271172046,3.0,22.0,2674.0,5842.470215,20174.05078
271,2024-10-17,2781,0.5480481415,0.5641158267,0.5428528798,0.5436582063,1406187768.28,30829026058.83,0.2103226265391788,18.0,22.0,2691.0,5841.470215,20190.41992
270,2024-10-18,2781,0.5436600878,0.5523849192,0.5404956532,0.5465413588,1042238394.95,30992412669.37,-0.4254078997506035,4.0,22.0,2713.699951,5864.669922,20324.03906
269,2024-10-19,2781,0.5465413588,0.5495185752,0.5410928524,0.5442574469,603883719.47,30862032964.35,0.0816993135394472,17.0,22.0,2713.699951,5864.669922,20324.03906
268,2024-10-20,2781,0.5442421541,0.548031946,0.5376766973,0.5476515707,692297810.62,31054674822.1,0.0,4.0,21.0,2713.699951,5864.669922,20324.03906
267,2024-10-21,2781,0.5476393321,0.5594415897,0.5415660995,0.5448626254,1319986737.94,30897217683.4,-0.009644883965689,8.0,21.0,2723.100098,5853.97998,20361.4707
266,2024-10-22,2781,0.5448626254,0.5488109263,0.5302606586,0.5333789987,1120439497.42,30245983564.87,-0.0056588699420293,6.0,21.0,2744.199951,5851.200195,20390.46094
265,2024-10-23,2781,0.5333783185,0.5335376385,0.5128085202,0.5252106389,982705774.96,29782746021.43,-0.0056588699420293,6.0,21.0,2714.399902,5797.419922,20066.96094
264,2024-10-24,2781,0.5256205238,0.5332857146,0.5244931428,0.5317611404,895039741.34,30180825026.22,0.0,1.0,21.0,2734.899902,5809.859863,20232.86914
263,2024-10-25,2781,0.5317611404,0.5317639903,0.4935850675,0.5019187957,1357198782.64,28514843977.92,0.0,1.0,21.0,2740.899902,5808.120117,20352.01953
262,2024-10-26,2781,0.5019170733,0.514404722,0.4996850388,0.5127610333,703691733.73,29130865848.35,0.0,1.0,21.0,2740.899902,5808.120117,20352.01953
261,2024-10-27,2781,0.5127602641,0.5171438182,0.5106251495,0.5163814224,509849011.69,29336590597.98,0.0184068598950556,15.0,19.0,2740.899902,5808.120117,20352.01953
260,2024-10-28,2781,0.5163814224,0.5208381553,0.5113818036,0.5192272172,837346671.34,29498208339.48,0.5096023238622225,4.0,19.0,2742.899902,5823.52002,20351.07031
259,2024-10-29,2781,0.519226211,0.5303097317,0.5184657867,0.5279157743,1076280680.5,29992034572.31,-0.046817449767261,31.0,19.0,2768.399902,5832.919922,20550.65039
258,2024-10-30,2781,0.5279185194,0.5280549374,0.5195876029,0.5229735792,900858937.31,29711103306.2,-0.046817449767261,31.0,19.0,2788.5,5813.669922,20387.69922
257,2024-10-31,2781,0.5229735792,0.5233497234,0.5038998179,0.509236632,1015745412.04,28959606415.53,0.0,1.0,19.0,2738.300049,5705.450195,19890.41992
256,2024-11-01,2781,0.5092366342,0.523350538,0.5046080705,0.5128683071,1284409585.59,29166134793.71,0.0,2.0,19.0,2738.600098,5728.799805,20033.14063
255,2024-11-02,2781,0.5128683071,0.5157502036,0.5079737308,0.5098498517,527041358.8,28994628530.33,0.0,2.0,19.0,2738.600098,5728.799805,20033.14063
254,2024-11-03,2781,0.5098524763,0.5107478087,0.4936523348,0.5029313039,940842891.38,28601030708.22,0.0,2.0,20.0,2738.600098,5728.799805,20033.14063
253,2024-11-04,2781,0.5029313039,0.5138324189,0.496788286,0.5032255802,1025432948.28,28617812810.98,0.0,2.0,20.0,2736.100098,5712.689941,19963.59961
252,2024-11-05,2781,0.5032264067,0.5183096765,0.5020223083,0.5140286129,1027346173.7,29232168029.38,0.0,2.0,20.0,2740.300049,5782.759766,20227.46094
251,2024-11-06,2781,0.5140294604,0.5465790423,0.5140294604,0.5424267616,2211008426.11,30847084574.5,-0.3154160432729302,16.0,20.0,2667.600098,5929.040039,20781.33008
250,2024-11-07,2781,0.5424267616,0.5738684107,0.5384252632,0.5547320839,1889112042.67,31546871797.31,-0.3154160432729302,16.0,20.0,2698.399902,5973.100098,21101.57031
249,2024-11-08,2781,0.5547320839,0.5596891823,0.5430236248,0.5540794817,1498480369.65,31509715098.18,-0.3154160432729302,16.0,20.0,2687.5,5995.540039,21117.17969
248,2024-11-09,2781,0.5540787065,0.5613808136,0.545104076,0.5594869341,1238578019.05,31816864569.44,0.0113355827587907,32.0,20.0,2687.5,5995.540039,21117.17969
247,2024-11-10,2781,0.5594869341,0.6160421886,0.5562001509,0.5893823021,4198897125.24,33517383371.1,-0.0562971830368042,28.0,39.0,2687.5,5995.540039,21117.17969
246,2024-11-11,2781,0.5893823021,0.6307059636,0.5720236265,0.6204667554,4066959667.0,35285114663.12,0.0589355601037498,14.0,39.0,2611.199951,6001.350098,21106.58984
245,2024-11-12,2781,0.6204667554,0.7353525141,0.599107168,0.7076994247,11156505328.94,40242318217.59,0.2277460820875699,27.0,39.0,2600.0,5983.990234,21070.78906
244,2024-11-13,2781,0.7076360911,0.743535347,0.6425908877,0.6902881889,7773620798.62,39255753600.4,0.0148544200734134,74.0,39.0,2580.800049,5985.379883,21036.16016
243,2024-11-14,2781,0.690287967,0.845210622,0.68441732,0.7730071544,9458526339.42,44008304173.73,0.1080244844563529,86.0,39.0,2568.199951,5949.169922,20896.66992
242,2024-11-15,2781,0.7730079741,0.9248207825,0.7725787115,0.8920914416,11738281622.73,50787886167.99,0.0332884953300131,86.0,39.0,2565.699951,5870.620117,20394.13086
241,2024-11-16,2781,0.892091657,1.256743942,0.8799244082,1.1190904175,22568823580.35,63711060613.92,0.0477228838115671,71.0,39.0,2565.699951,5870.620117,20394.13086
240,2024-11-17,2781,1.1190878362,1.1545945192,1.0054632183,1.0543353752,12066098150.74,60025087547.81,0.0016243455661644,61.0,50.0,2565.699951,5870.620117,20394.13086
239,2024-11-18,2781,1.0543435424,1.1833420008,1.0543139839,1.1179359952,9978319004.88,63643084553.26,0.0328312730589274,79.0,50.0,2610.600098,5893.620117,20539.18945
